Country,Life_Exp,Mean_Years_School,Surface,Births_by_Professionals,Water_Productivity,Inflation,Mortality_Rate,GDP_Growth,Ease_Business,Out_Of_School_Primary,Master_DG_Over_25,Migrants,Forested,GDP_Per_Capita,Start_UP_Procedures,Broad_Band
Bahrain,78.7605,11.04658985,778,99.9,145.0094919,1.848627424,7.6,4.814397399,76.02665,2.099739075,2.043410063,2.402340566,0.771208226,0.26533891,0.277777778,0.116698157
Lithuania,73.7201,13.49810028,65286,100,70.56828555,-0.884097406,4.9,4.299003749,81.61948,0.255271912,14.59095001,-5.230776716,33.49875931,0.254620452,0.111111111,0.390266671
Saudi Arabia,76.936,11.31052971,2149690,98,27.32928645,1.206073222,9.1,4.131364979,70.87175,2.538322449,3.590569973,4.874846777,0.454484135,0.310611996,0.666666667,0.302188401
Portugal,81.0443,9.575940132,92225.6,99.9,22.25874665,0.487938624,3.6,0.446586136,76.46616,3.568649292,16.19050026,-1.359299448,35.91193768,0.221924775,0.222222222,0.544070314
Latvia,73.5786,13.25271988,64594,99.9,101.7184744,0.174242244,5,3.990910925,80.28054,3.207450867,17.03336906,-4.424738817,52.50394774,0.219520229,0.111111111,0.346778016
Croatia,77.5804,12.19108434,88073,99.9,74.54798695,-0.464499005,4.9,1.76922769,73.62096,3.027839661,13.34128977,-0.987253142,21.82280608,0.201238338,0.333333333,0.334845618
Chile,78.9435,10.9349663,756096,99.7,3.293472612,4.348773532,7.9,4.246035383,72.58023,9.344497681,1.514879942,0.852211717,23.27228288,0.16311977,0.333333333,0.262522594
Qatar,79.2716,9.99601145,11490,99.9,564.3818595,1.814077239,7.8,11.24194802,68.66573,2.168067932,1.462280035,20.63972177,0,0.591400285,0.388888889,0.137045263
Slovakia,74.9101,12.91141987,49030,97,122.4641555,-0.325219777,6.2,4.041215068,75.58542,2.115592957,20.31897926,0.208288701,39.19539058,0.205059046,0.333333333,0.415548858
Hungary,74.5301,12.24958992,93030,99.6,22.52832197,-0.06164468,5.1,2.29558951,62,3.138519287,10.95558985,0.308953164,22.15220896,0.219422872,0.222222222,0.826666667
Argentina,75.3899,11.14726927,2780400,99.6,15.38631593,60.29403432,11.5,2.721641166,58.96151,0.644607544,14.12002646,0.065489676,10.465041,0.138218821,0.666666667,0.282373362
Türkiye,76.0324,8.63313961,785350,99,14.1687258,7.670853648,13,5.255718494,76.79104,5.027107239,2.578020096,2.073167072,27.54224231,0.207402101,0.5,0.264564669
Montenegro,76.3426,12.17648306,13810,99,23.12605266,1.548691582,4,2.872460308,73.81891,3.59846413,2.578020096,-0.501795467,59.88414193,0.137626979,0.333333333,0.390990756
Kuwait,78.6729,7.328022618,17820,99.9,181.086208,3.271701661,8.8,4.445923017,67.40473,3.263816833,0.453420013,13.39939698,0.350729517,0.357212319,0.555555556,0.023087623
