Country,Life_Exp,Mean_Years_School,Surface,Births_by_Professionals,Water_Productivity,Inflation,Mortality_Rate,GDP_Growth,Ease_Business,Out_Of_School_Primary,Master_DG_Over_25,Migrants,Forested,GDP_Per_Capita,Start_UP_Procedures,Broad_Band
Papua New Guinea,65.3506,4.74,462840,61.8,44.09603426,5.995957781,51,4.25152066,59.77357,10.13959522,0.260670006,-0.043853469,77.8334217,0.022429046,0.222222222,0.003129532
Mauritania,64.3636,4.918804891,1030700,53,3.996914061,3.237703083,82.7,3.630428335,51.06288,10.96239112,0.260670006,0.523590032,0.32991171,0.029730192,0.277777778,0.005292719
Côte d'Ivoire,58.5983,5.199138977,322460,69.3,28.26919405,1.251499548,90.8,2.689513895,60.68796,21.09999847,0.260670006,-0.295708942,10.54750977,0.03070312,0.166666667,0.013147032
Tanzania (United Republic of),66.2007,6.37289871,947300,59.4,7.553719389,5.58816953,58.1,6.361093689,54.46329,13.11195348,0.260670006,-0.407221725,50.76533305,0.013227721,0.5,0.025348017
Pakistan,66.0979,4.536330223,796100,61.4,1.258268867,2.529328173,76,4.193426362,60.95491,27.26782227,1.640650034,-0.47920397,4.939831679,0.026639112,0.611111111,0.015229301
Togo,61.6194,5.016807367,56790,59,15.77480599,2.58390527,75.9,3.30210808,62.28934,8.537147522,0.720663349,-0.117878211,21.55432294,0.009821032,0.222222222,0.008488587
Haiti,63.1924,5.554,27750,44.6,9.39879293,6.731840697,69.9,1.899806539,40.72493,15.18648468,0.873994463,-1.29963715,13.07567568,0.01448148,0.555555556,0.003624927
Nigeria,52.676,7.181074153,923770,48.6,33.52944447,9.009387183,126.4,6.870524361,56.87589,16.02763292,1.078435948,-0.141910596,24.29549563,0.0277793,0.333333333,0.000422452
Rwanda,66.0722,4.425292358,26340,38.1,38.36824177,2.528502842,47.7,7.938986736,76.48282,16.87183989,0.304140002,-0.81417438,10.25056948,0.010116561,0.277777778,0.001820538
Benin,59.821,4.304786445,114760,90.7,75.49648915,0.218785924,97.6,4.236410556,52.40404,3.639633179,0.752190138,-0.339473896,29.49764726,0.018324555,0.333333333,0.003297369
Uganda,62.7048,5.730941566,241550,77.2,44.39504453,5.410004196,55.7,6.507909169,59.9818,9.002006531,0.711588696,-0.63661186,10.53264335,0.009922454,0.666666667,0.001707993
Lesotho,53.062,6.010184707,30360,58,50.45881683,3.218445137,94.6,3.338109317,59.4294,11.54412412,0.589306278,-2.209472888,1.137022398,0.013474861,0.277777778,0.003149338
Malawi,62.9044,4.489695385,118480,77.9,4.109213745,21.86734755,53.3,4.392359016,60.9371,12.04528689,0.684361704,-0.408511315,20.69294396,0.00502299,0.333333333,0.000854158
Senegal,67.0926,2.937938258,196710,87.4,6.916439788,0.135211934,49.4,3.634930337,59.275,25.73023224,1.533929944,-1.2444648,42.03223019,0.017882015,0.111111111,0.012248262
Djibouti,62.3049,4.1,23200,53.2,20.18054562,-0.847389734,65.8,7.293826081,60.49674,13.13885381,0.935865975,0.598884251,0.24137931,0.029385822,0.277777778,0.033809717
Sudan,65.2667,3.82,1878000,87.4,2.901434821,16.90957061,65.9,2.589897536,44.82932,12.51668946,1.051385874,-1.198291643,10.22892971,0.019462318,0.5,0.00087518
Madagascar,64.4853,5.120468534,587295,77.7,0.771722004,7.404191742,59,2.853159584,47.72865,21.91187286,1.517210007,-0.026383059,21.27702432,0.005145414,0.444444444,0.001540812
Gambia,62.083,4.637487411,11300,44.3,12.8525896,6.808454946,59.8,2.723155617,50.29381,16.14784323,1.168153952,-0.620683194,24.01238938,0.009859285,0.277777778,0.002758619
Ethiopia,64.9748,3.201520681,1136244.136,57.2,5.013835106,9.56889956,62.4,9.038131253,47.97613,13.98097229,1.245583278,0.339336449,15.34309348,0.011151993,0.666666667,0.00245875
Eritrea,66.5358,4.8872352,121675.405,15.5,20.18054562,1.4,46.3,1.284551256,21.5998,17.23774398,1.310315746,-7.654087516,8.802600657,0.006823889,0.611111111,0.001879829
Guinea-Bissau,59.6523,3.583719,36130,34.1,5.413518888,1.476720489,92.1,2.981824941,43.23319,15.82232927,1.241350992,-0.347558162,55.97038472,0.00805251,0.388888889,0.001614498
Liberia,60.7472,5.082,111370,45,20.21251081,7.748696876,88.3,3.075277322,43.22747,16.26957518,1.265750005,0.482606104,69.75612822,0.003812208,0.166666667,0.003427131
Congo (Democratic Republic of the),59.193,7.018696516,2344860,61.1,43.68605581,0.744198995,95.9,4.936711632,36.20973,63.18819046,1.272472248,0.016302585,56.14924558,0.002356721,0.277777778,0.000461508
Afghanistan,61.9824,2.98506999,652860,80.1,0.857237021,-0.661709165,70.4,7.94561782,44.06497,49.59999847,0.30577001,1.309811457,1.850994088,0.007477206,0.111111111,0.000910048
Sierra Leone,60.0624,4.576081285,72300,50.5,19.83774594,6.693679279,140.2,6.2203873,47.45831,29.34980161,0.947997421,-0.257942701,36.42503458,0.006089929,0.222222222,0
Guinea,58.8922,2.202125952,245860,59.7,10.55983662,10.82068212,107.3,3.546148103,49.42922,31.91127316,2.447079897,-2.176363948,25.98633369,0.011972111,0.277777778,0.000101527
Yemen,63.7534,3.2,527970,41.1,15.80366755,8.104725836,60.7,0.954746041,31.76299,34.35686136,1.233615776,-0.246009931,1.039831809,0.003986939,0.222222222,0.017479178
Burkina Faso,59.2696,2.114962259,274220,44.7,12.6111626,0.724838981,100.9,5.530395303,51.40019,31.69606781,1.341009974,-0.581473861,23.5810663,0.009487673,0.055555556,0.000891663
Mozambique,59.3247,3.197641838,799380,79.8,9.579532609,3.550759674,84,7.332670272,54.9955,40.01703215,0.208169997,-0.077728959,47.46178288,0.003191608,0.444444444,0.002986147
Mali,58.9414,2.31,1240190,73,2.172728537,1.450690576,108.3,4.788293114,52.94472,36.15517243,1.012439966,-1.450196598,10.72093792,0.009588383,0.166666667,0.01605241
Burundi,61.6627,3.129266883,27830,43.7,10.54321312,5.544688913,67.6,2.910244749,46.77393,2.682319641,0.155670002,-0.571183595,10.04814948,0,0.055555556,0.000474317
Central African Republic,53.8947,4.334,622980,78.4,35.21604014,1.402970171,123.3,0.563929965,35.56585,29.46978776,0.458759988,-8.051423713,36.04128543,0.001603527,0.444444444,0
Niger,61.5763,2.116717299,1267000,40,5.924309143,-0.57609037,93.8,4.840436382,56.75932,38.94789124,0.551569998,0.075250261,0.901183899,0.003477669,0.277777778,0.000660976
Chad,52.5254,2.57377421,1284000,39.7,10.72099967,4.377126651,128.7,8.376662097,36.93568,21.08151245,0.388666663,0.591191775,3.808411215,0.004328486,0.388888889,0
South Sudan,54.9752,5.726140022,646883,24.3,17.47801039,52.76633042,97.9,-4.925337978,34.62285,28.05895261,0.466332217,-0.878628307,11.06382452,0.000246412,0.611111111,0
